Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5510","Production","541","Fruit, stone nes","2016","2016","tonnes","51304","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","560","Grapes","2016","2016","ha","82450","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","560","Grapes","2016","2016","hg/ha","106069","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2016","2016","tonnes","874541","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","333","Linseed","2016","2016","ha","577","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","333","Linseed","2016","2016","hg/ha","3787","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","333","Linseed","2016","2016","tonnes","219","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","56","Maize","2016","2016","ha","151900","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","56","Maize","2016","2016","hg/ha","20517","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2016","2016","tonnes","311646","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2016","2016","ha","79951","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","568","Melons, other (inc.cantaloupes)","2016","2016","hg/ha","63322","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2016","2016","tonnes","506266","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","79","Millet","2016","2016","ha","2868","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","79","Millet","2016","2016","hg/ha","35015","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","79","Millet","2016","2016","tonnes","10043","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","234","Nuts, nes","2016","2016","ha","858","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","234","Nuts, nes","2016","2016","hg/ha","8034","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","234","Nuts, nes","2016","2016","tonnes","689","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","260","Olives","2016","2016","ha","2200","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","260","Olives","2016","2016","hg/ha","34759","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","260","Olives","2016","2016","tonnes","7647","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","403","Onions, dry","2016","2016","ha","13335","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","403","Onions, dry","2016","2016","hg/ha","106223","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2016","2016","tonnes","141649","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","490","Oranges","2016","2016","ha","970","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","490","Oranges","2016","2016","hg/ha","45632","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","490","Oranges","2016","2016","tonnes","4426","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","534","Peaches and nectarines","2016","2016","ha","3110","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","534","Peaches and nectarines","2016","2016","hg/ha","49215","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","534","Peaches and nectarines","2016","2016","tonnes","15306","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","521","Pears","2016","2016","ha","1346","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","521","Pears","2016","2016","hg/ha","38826","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","521","Pears","2016","2016","tonnes","5226","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","223","Pistachios","2016","2016","ha","2311","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","223","Pistachios","2016","2016","hg/ha","12179","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","223","Pistachios","2016","2016","tonnes","2814","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","536","Plums and sloes","2016","2016","ha","3302","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","536","Plums and sloes","2016","2016","hg/ha","56039","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","536","Plums and sloes","2016","2016","tonnes","18504","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","116","Potatoes","2016","2016","ha","35699","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","116","Potatoes","2016","2016","hg/ha","119868","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2016","2016","tonnes","427917","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","211","Pulses, nes","2016","2016","ha","111894","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","211","Pulses, nes","2016","2016","hg/ha","7403","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","211","Pulses, nes","2016","2016","tonnes","82837","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2016","2016","ha","119000","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","27","Rice, paddy","2016","2016","hg/ha","29963","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2016","2016","tonnes","356565","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","328","Seed cotton","2016","2016","ha","51102","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","328","Seed cotton","2016","2016","hg/ha","11545","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","328","Seed cotton","2016","2016","tonnes","58996","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","289","Sesame seed","2016","2016","ha","15000","*","Unofficial figure"
"QC","Crops","2","Afghanistan","5419","Yield","289","Sesame seed","2016","2016","hg/ha","21333","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","289","Sesame seed","2016","2016","tonnes","32000","*","Unofficial figure"
"QC","Crops","2","Afghanistan","5312","Area harvested","723","Spices, nes","2016","2016","ha","2588","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","723","Spices, nes","2016","2016","hg/ha","23","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","723","Spices, nes","2016","2016","tonnes","6","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","157","Sugar beet","2016","2016","ha","202","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","157","Sugar beet","2016","2016","hg/ha","78317","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","157","Sugar beet","2016","2016","tonnes","1582","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","156","Sugar cane","2016","2016","ha","1333","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","156","Sugar cane","2016","2016","hg/ha","130263","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","156","Sugar cane","2016","2016","tonnes","17364","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","267","Sunflower seed","2016","2016","ha","493","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","267","Sunflower seed","2016","2016","hg/ha","15598","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","267","Sunflower seed","2016","2016","tonnes","769","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","463","Vegetables, fresh nes","2016","2016","ha","145980","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","463","Vegetables, fresh nes","2016","2016","hg/ha","90353","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2016","2016","tonnes","1318977","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","222","Walnuts, with shell","2016","2016","ha","3949","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","222","Walnuts, with shell","2016","2016","hg/ha","16498","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","222","Walnuts, with shell","2016","2016","tonnes","6515","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","567","Watermelons","2016","2016","ha","74679","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","567","Watermelons","2016","2016","hg/ha","115473","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","567","Watermelons","2016","2016","tonnes","862341","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","15","Wheat","2016","2016","ha","2300210","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","15","Wheat","2016","2016","hg/ha","19803","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2016","2016","tonnes","4555110","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","515","Apples","2016","2016","ha","4230","","Official data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2016","2016","hg/ha","240028","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","515","Apples","2016","2016","tonnes","101532","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","526","Apricots","2016","2016","ha","326","","Official data"
"QC","Crops","3","Albania","5419","Yield","526","Apricots","2016","2016","hg/ha","159325","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","526","Apricots","2016","2016","tonnes","5194","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","44","Barley","2016","2016","ha","3104","","Official data"
"QC","Crops","3","Albania","5419","Yield","44","Barley","2016","2016","hg/ha","28995","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","44","Barley","2016","2016","tonnes","9000","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","176","Beans, dry","2016","2016","ha","13720","","Official data"
"QC","Crops","3","Albania","5419","Yield","176","Beans, dry","2016","2016","hg/ha","18120","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","176","Beans, dry","2016","2016","tonnes","24860","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","414","Beans, green","2016","2016","ha","898","","Official data"
"QC","Crops","3","Albania","5419","Yield","414","Beans, green","2016","2016","hg/ha","126370","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","414","Beans, green","2016","2016","tonnes","11348","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","181","Broad beans, horse beans, dry","2016","2016","ha","164","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","181","Broad beans, horse beans, dry","2016","2016","hg/ha","12628","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","181","Broad beans, horse beans, dry","2016","2016","tonnes","207","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","358","Cabbages and other brassicas","2016","2016","ha","1846","","Official data"
"QC","Crops","3","Albania","5419","Yield","358","Cabbages and other brassicas","2016","2016","hg/ha","306907","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","358","Cabbages and other brassicas","2016","2016","tonnes","56655","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","426","Carrots and turnips","2016","2016","ha","448","","Official data"
"QC","Crops","3","Albania","5419","Yield","426","Carrots and turnips","2016","2016","hg/ha","331652","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","426","Carrots and turnips","2016","2016","tonnes","14858","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","393","Cauliflowers and broccoli","2016","2016","ha","297","","Official data"
"QC","Crops","3","Albania","5419","Yield","393","Cauliflowers and broccoli","2016","2016","hg/ha","198350","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","393","Cauliflowers and broccoli","2016","2016","tonnes","5891","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","531","Cherries","2016","2016","ha","2098","","Official data"
"QC","Crops","3","Albania","5419","Yield","531","Cherries","2016","2016","hg/ha","91806","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","531","Cherries","2016","2016","tonnes","19261","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","530","Cherries, sour","2016","2016","ha","3055","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","530","Cherries, sour","2016","2016","hg/ha","58329","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","530","Cherries, sour","2016","2016","tonnes","17818","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","220","Chestnut","2016","2016","ha","2404","","Official data"
"QC","Crops","3","Albania","5419","Yield","220","Chestnut","2016","2016","hg/ha","25125","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","220","Chestnut","2016","2016","tonnes","6040","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","401","Chillies and peppers, green","2016","2016","ha","2940","","Official data"
"QC","Crops","3","Albania","5419","Yield","401","Chillies and peppers, green","2016","2016","hg/ha","261259","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","401","Chillies and peppers, green","2016","2016","tonnes","76810","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","397","Cucumbers and gherkins","2016","2016","ha","2268","","Official data"
"QC","Crops","3","Albania","5419","Yield","397","Cucumbers and gherkins","2016","2016","hg/ha","415692","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","397","Cucumbers and gherkins","2016","2016","tonnes","94279","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","577","Dates","2016","2016","ha","481","","Official data"
"QC","Crops","3","Albania","5419","Yield","577","Dates","2016","2016","hg/ha","293264","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","577","Dates","2016","2016","tonnes","14106","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","399","Eggplants (aubergines)","2016","2016","ha","1180","","Official data"
"QC","Crops","3","Albania","5419","Yield","399","Eggplants (aubergines)","2016","2016","hg/ha","270305","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","399","Eggplants (aubergines)","2016","2016","tonnes","31896","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","569","Figs","2016","2016","ha","1489","","Official data"
"QC","Crops","3","Albania","5419","Yield","569","Figs","2016","2016","hg/ha","140376","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","569","Figs","2016","2016","tonnes","20902","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","512","Fruit, citrus nes","2016","2016","ha","85","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","512","Fruit, citrus nes","2016","2016","hg/ha","149626","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","512","Fruit, citrus nes","2016","2016","tonnes","1277","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","619","Fruit, fresh nes","2016","2016","ha","773","","Official data"
"QC","Crops","3","Albania","5419","Yield","619","Fruit, fresh nes","2016","2016","hg/ha","349935","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","619","Fruit, fresh nes","2016","2016","tonnes","27050","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","406","Garlic","2016","2016","ha","1171","","Official data"
"QC","Crops","3","Albania","5419","Yield","406","Garlic","2016","2016","hg/ha","105107","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","406","Garlic","2016","2016","tonnes","12308","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","560","Grapes","2016","2016","ha","10011","","Official data"
"QC","Crops","3","Albania","5419","Yield","560","Grapes","2016","2016","hg/ha","204776","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","560","Grapes","2016","2016","tonnes","205001","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","677","Hops","2016","2016","ha","2616","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","677","Hops","2016","2016","hg/ha","7566","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","677","Hops","2016","2016","tonnes","1979","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","407","Leeks, other alliaceous vegetables","2016","2016","ha","1492","","Official data"
"QC","Crops","3","Albania","5419","Yield","407","Leeks, other alliaceous vegetables","2016","2016","hg/ha","226890","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","407","Leeks, other alliaceous vegetables","2016","2016","tonnes","33852","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","497","Lemons and limes","2016","2016","ha","530","F","FAO estimate"
"QC","Crops","3","Albania","5419","Yield","497","Lemons and limes","2016","2016","hg/ha","68057","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","497","Lemons and limes","2016","2016","tonnes","3607","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","372","Lettuce and chicory","2016","2016","ha","1213","","Official data"
"QC","Crops","3","Albania","5419","Yield","372","Lettuce and chicory","2016","2016","hg/ha","143092","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","372","Lettuce and chicory","2016","2016","tonnes","17357","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","56","Maize","2016","2016","ha","58528","","Official data"
"QC","Crops","3","Albania","5419","Yield","56","Maize","2016","2016","hg/ha","64877","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","56","Maize","2016","2016","tonnes","379714","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2016","2016","ha","1549","","Official data"
"QC","Crops","3","Albania","5419","Yield","568","Melons, other (inc.cantaloupes)","2016","2016","hg/ha","274125","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","568","Melons, other (inc.cantaloupes)","2016","2016","tonnes","42462","","Official data"
"QC","Crops","3","Albania","5510","Production","449","Mushrooms and truffles","2016","2016","tonnes","100","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","234","Nuts, nes","2016","2016","ha","571","","Official data"
"QC","Crops","3","Albania","5419","Yield","234","Nuts, nes","2016","2016","hg/ha","146848","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","234","Nuts, nes","2016","2016","tonnes","8385","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","75","Oats","2016","2016","ha","14736","","Official data"
"QC","Crops","3","Albania","5419","Yield","75","Oats","2016","2016","hg/ha","21718","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","75","Oats","2016","2016","tonnes","32003","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","430","Okra","2016","2016","ha","681","","Official data"
"QC","Crops","3","Albania","5419","Yield","430","Okra","2016","2016","hg/ha","112570","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","430","Okra","2016","2016","tonnes","7666","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","260","Olives","2016","2016","ha","38889","","Official data"
"QC","Crops","3","Albania","5419","Yield","260","Olives","2016","2016","hg/ha","25476","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","260","Olives","2016","2016","tonnes","99075","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","403","Onions, dry","2016","2016","ha","4802","","Official data"
"QC","Crops","3","Albania","5419","Yield","403","Onions, dry","2016","2016","hg/ha","208738","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","403","Onions, dry","2016","2016","tonnes","100236","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","402","Onions, shallots, green","2016","2016","ha","1852","","Official data"
"QC","Crops","3","Albania","5419","Yield","402","Onions, shallots, green","2016","2016","hg/ha","199487","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","402","Onions, shallots, green","2016","2016","tonnes","36945","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","490","Oranges","2016","2016","ha","209","","Official data"
"QC","Crops","3","Albania","5419","Yield","490","Oranges","2016","2016","hg/ha","481483","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","490","Oranges","2016","2016","tonnes","10063","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","534","Peaches and nectarines","2016","2016","ha","1179","","Official data"
"QC","Crops","3","Albania","5419","Yield","534","Peaches and nectarines","2016","2016","hg/ha","158380","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","534","Peaches and nectarines","2016","2016","tonnes","18673","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","521","Pears","2016","2016","ha","710","","Official data"
"QC","Crops","3","Albania","5419","Yield","521","Pears","2016","2016","hg/ha","188507","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","521","Pears","2016","2016","tonnes","13384","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","417","Peas, green","2016","2016","ha","503","","Official data"
"QC","Crops","3","Albania","5419","Yield","417","Peas, green","2016","2016","hg/ha","107992","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","417","Peas, green","2016","2016","tonnes","5432","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","536","Plums and sloes","2016","2016","ha","2457","","Official data"
"QC","Crops","3","Albania","5419","Yield","536","Plums and sloes","2016","2016","hg/ha","163533","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","536","Plums and sloes","2016","2016","tonnes","40180","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","116","Potatoes","2016","2016","ha","9693","","Official data"
"QC","Crops","3","Albania","5419","Yield","116","Potatoes","2016","2016","hg/ha","245894","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","116","Potatoes","2016","2016","tonnes","238345","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","211","Pulses, nes","2016","2016","ha","1120","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","211","Pulses, nes","2016","2016","hg/ha","6289","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","211","Pulses, nes","2016","2016","tonnes","704","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","394","Pumpkins, squash and gourds","2016","2016","ha","615","","Official data"
"QC","Crops","3","Albania","5419","Yield","394","Pumpkins, squash and gourds","2016","2016","hg/ha","265772","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","394","Pumpkins, squash and gourds","2016","2016","tonnes","16345","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","523","Quinces","2016","2016","ha","860","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","523","Quinces","2016","2016","hg/ha","49314","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","523","Quinces","2016","2016","tonnes","4241","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","27","Rice, paddy","2016","2016","ha","0","","Official data"
"QC","Crops","3","Albania","5510","Production","27","Rice, paddy","2016","2016","tonnes","0","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","71","Rye","2016","2016","ha","1204","","Official data"
"QC","Crops","3","Albania","5419","Yield","71","Rye","2016","2016","hg/ha","22533","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","71","Rye","2016","2016","tonnes","2713","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","328","Seed cotton","2016","2016","ha","561","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","328","Seed cotton","2016","2016","hg/ha","10523","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","328","Seed cotton","2016","2016","tonnes","591","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","83","Sorghum","2016","2016","ha","0","","Official data"
"QC","Crops","3","Albania","5510","Production","83","Sorghum","2016","2016","tonnes","0","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","236","Soybeans","2016","2016","ha","264","","Official data"
"QC","Crops","3","Albania","5419","Yield","236","Soybeans","2016","2016","hg/ha","25152","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","236","Soybeans","2016","2016","tonnes","664","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","723","Spices, nes","2016","2016","ha","403","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5419","Yield","723","Spices, nes","2016","2016","hg/ha","8604","Fc","Calculated data"
"QC","Crops","3","Albania","5510","Production","723","Spices, nes","2016","2016","tonnes","347","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","373","Spinach","2016","2016","ha","1326","","Official data"
"QC","Crops","3","Albania","5419","Yield","373","Spinach","2016","2016","hg/ha","145913","Fc","Calculated data"
